id,description,category,price,receiver,date,party,gifter,gift
1,"Ontvangen het boek ‘Handboek minister. De lang geheimgehouden instructies aan bewindslieden’ ter waarde van €14,95.",boeken,14.95,"Aartsen, A.A. (Thierry)",2023-01-31,VVD,nan,het boek ‘Handboek minister. De lang geheimgehouden instructies aan bewindslieden’ ter waarde van
2,Ontvangen van Uitgeverij Noordhoff een Grote Bosatlas. De waarde is onbekend.,boeken,,"Aartsen, A.A. (Thierry)",2022-04-05,VVD,Uitgeverij Noordhoff,een Grote Bosatlas. De waarde is onbekend
3,Ontvangen van de Stichting Ondersteuning VVD (SOV) een Stamppotdiner SOV. De waarde is onbekend.,etenswaren en dranken,,"Aartsen, A.A. (Thierry)",2021-09-27,VVD,de Stichting Ondersteuning VVD (SOV),de Stichting Ondersteuning VVD (SOV) een Stamppotdiner SOV. De waarde is onbekend
4,Ontvangen van de Gemeente Breda twee kaarten voor Bij Ons In Breda. De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2021-07-26,VVD,de Gemeente Breda,de Gemeente Breda twee kaarten voor Bij Ons In Breda. De waarde is onbekend
5,Ontvangen van de Gemeente Rotterdam een toegangskaart voor de halve finale van de KNVB beker Feyenoord – NAC. De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2020-03-05,VVD,de Gemeente Rotterdam,de Gemeente Rotterdam een toegangskaart voor de halve finale van de KNVB beker Feyenoord – NAC. De waarde is onbekend
6,Ontvangen van de Gemeente Breda een toegangskaart voor de bekerwedstrijd NAC – PSV. De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2020-01-23,VVD,de Gemeente Breda,de Gemeente Breda een toegangskaart voor de bekerwedstrijd NAC – PSV. De waarde is onbekend
7,Ontvangen van KRO-NCRV 5 toegangskaarten backstage TOP2000 Café. De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2019-12-30,VVD,KRO-NCRV,5 toegangskaarten backstage TOP2000 Café. De waarde is onbekend
8,Ontvangen tijdens een werkbezoek aan Swinkels Family Brewers een maaltijd en presentje (een liter bier). De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2019-02-18,VVD,nan,een werkbezoek aan Swinkels Family Brewers een maaltijd en presentje (een liter bier). De waarde is onbekend
9,Ontvangen van ANP het fotoboek ‘Hollandse Beelden’. De waarde is onbekend.,boeken,,"Aartsen, A.A. (Thierry)",2019-02-12,VVD,nan,het fotoboek ‘Hollandse Beelden’. De waarde is onbekend
10,Ontvangen van Edison Pop twee kaarten inclusief diner voor de Edison Pop Awards in de Westergasfabriek te Amsterdam. De waarde is onbekend.,uitnodigingen en tickets,,"Aartsen, A.A. (Thierry)",2019-02-11,VVD,Edison Pop,twee kaarten inclusief diner voor de Edison Pop Awards in de Westergasfabriek te Amsterdam. De waarde is onbekend
11,Ontvangen van de gemeente Noordenveld een boekje over ‘Drents Big Vief’. De waarde is onbekend.,boeken,,"Aartsen, A.A. (Thierry)",2019-01-15,VVD,de gemeente Noordenveld,de gemeente Noordenveld een boekje over ‘Drents Big Vief’. De waarde is onbekend
