"Aartsen, A.A. (Thierry) - VVD",
Geschenken,
Geschenk,Datum
"Ontvangen het boek ‘Handboek minister. De lang geheimgehouden instructies aan bewindslieden’ ter waarde van €14,95.",31-01-2023
Ontvangen van Uitgeverij Noordhoff een Grote Bosatlas. De waarde is onbekend.,05-04-2022
Ontvangen van de Stichting Ondersteuning VVD (SOV) een Stamppotdiner SOV. De waarde is onbekend.,27-09-2021
Ontvangen van de Gemeente Breda twee kaarten voor Bij Ons In Breda. De waarde is onbekend.,26-07-2021
Ontvangen van de Gemeente Rotterdam een toegangskaart voor de halve finale van de KNVB beker Feyenoord – NAC. De waarde is onbekend.,05-03-2020
Ontvangen van de Gemeente Breda een toegangskaart voor de bekerwedstrijd NAC – PSV. De waarde is onbekend.,23-01-2020
Ontvangen van KRO-NCRV 5 toegangskaarten backstage TOP2000 Café. De waarde is onbekend.,30-12-2019
Bijgewoond op uitnodiging van de provincie Limburg een concert van André Rieu. De waarde is onbekend.,11-07-2019
Aanwezig geweest bij het concert van Marco Borsato in de Kuip op uitnodiging van Public Affairs Rotterdam. De waarde is onbekend.,01-06-2019
Bijgewoond het Nieuwspoort Aspergediner op uitnodiging van Competition Support. De waarde is onbekend.,17-04-2019
Ontvangen tijdens een werkbezoek aan Swinkels Family Brewers een maaltijd en presentje (een liter bier). De waarde is onbekend.,18-02-2019
Ontvangen van ANP het fotoboek ‘Hollandse Beelden’. De waarde is onbekend.,12-02-2019
Ontvangen van Edison Pop twee kaarten inclusief diner voor de Edison Pop Awards in de Westergasfabriek te Amsterdam. De waarde is onbekend.,11-02-2019
Ontvangen van de gemeente Noordenveld een boekje over ‘Drents Big Vief’. De waarde is onbekend.,15-01-2019
Ontvangen een kaart met alle streekomroepen erop van de Stichting Nederlandse Lokale Publieke Omroepen (NLPO). De waarde is onbekend.,14-12-2018
Ontvangen twee toegangskaartjes voor het Muziekfeest van het jaar van de AVRO-TROS. De waarde is onbekend.,07-12-2018
Ontvangen van het bestuur van de Eerste Bredasche Heerenzitting 1 toegangsbewijs voor de Eerste Bredasche Heerenzitting. De waarde is onbekend.,18-11-2018
Aanwezig geweest bij het Wilddiner van de provincie Limburg in Nieuwspoort. De waarde is onbekend.,14-11-2018
"Bezoek gebracht aan het Amsterdam Dance Event, aangeboden door BUMA/Stemra. De waarde is onbekend.",23-10-2018
Ontvangen een uitnodiging van de gemeente Enschede voor een bezoek aan de Military Boekelo. De waarde is onbekend.,13-10-2018
Ontvangen van de gemeente Tilburg een kaart voor de voetbalwedstrijd Willem II-Feyenoord. De waarde is onbekend.,07-10-2018
Ontvangen één toegangskaart tot de gemeentelijke skybox in het NAC stadion bij de voetbalwedstrijd NAC-PSV op uitnodiging van de gemeente Breda. De waarde is onbekend.,29-09-2018
"Ontvangen van de VVD fractie in Breda twee kippen ter waarde van €52,-.",20-09-2018
Ontvangen van de Provincie Brabant kaartjes voor de Brabantse Stoet. De waarde is onbekend.,16-09-2018
Ontvangen van de Provincie Brabant een welkomstpakket voor zijn installatie als Kamerlid. De waarde is onbekend.,13-09-2018
"Agema, M. (Fleur) - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van Binnenklimaat Nederland een Co2-meter met een geschatte waarde van €150,-.",08-09-2022
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",20-04-2022
"Ontvangen een Co2kanarie ter waarde van € 159,00",04-11-2021
"Ontvangen van Klaas Jol ter gelegenheid van de uitreiking van zijn biografie een schilderij van J. Van Munster uit 1984. De geschatte waarde is ongeveer €200,-.",07-05-2020
Ontvangen van De Landelijke Huisartsen Vereniging na een debat op 19 mei 2010 een thermometer en een bloeddrukmeter.,19-05-2010
"Ontvangen van Koninklijke Horeca Nederland na het debat in Dudok op 18 mei 2010 2 cadeaubonnen à €100,-- per stuk van Alliance Gastronomique.",18-05-2010
Geschenk,Datum
"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",30-09-2008
"Akerboom, E.S. (Eva) - PvdD",
Geschenken,
Geschenk,Datum
Geen,
"Alkaya, M.Ö. (Mahir) - SP",
Geschenken,
Geschenk,Datum
Ontvangen van de theatermakers twee vrijkaartjes voor een theatervoorstelling 'Door de bank genomen: Tien jaar later'. De waarde is onbekend.,30-05-2023
"Amhaouch, M. (Mustafa) - CDA",
Geschenken,
Geschenk,Datum
Ontvangen van het Taipei Representative Office een fles drank. De waarde is onbekend.,10-01-2023
Ontvangen van de vertegenwoordigster van Taiwan een doos bonbons naar aanleiding van een gesprek bij de Tweede Kamer. De waarde is onbekend.,12-10-2022
"Ontvangen van de gemeente Eindhoven een uitnodiging, voor twee personen, voor de voetbalwedstrijd PSV-Ajax. De waarde is onbekend.",23-09-2018
Ontvangen twee echte Limburgse Vlaaien (abrikozen/kersen) van KBO Grubbenvorst. De waarde is onbekend.,08-11-2017
"Bijgewoond op uitnodiging van de gemeente Eindhoven, met 1 persoon, de wedstrijd PSV-Ajax. De waarde is onbekend.",23-04-2017
"Azarkan, F. (Farid) - DENK",
Geschenken,
Geschenk,Datum
"Ontvangen van register belasting adviseurs het boek ‘RB VeRBeter bundel’ ter waarde van €29,95 .",24-10-2023
"Ontvangen het boek ‘Zo, nu ben je wees’ van Jojanneke van den Bosch ter waarde van €39,90.",17-10-2023
"Ontvangen van SIB Leiden een cadeaupakket met SIB merchandise ter waarde van €33,85",13-09-2023
"Ontvangen van de evaluatiecommissie van Balen het boek ‘Het vertrouwen zoek, de kabinetsformatie 2021/2022 geëvalueerd’ ter waarde van €29,90.",04-07-2023
"Ontvangen het boek ‘politieke polarisatie in Nederland’ ter waarde van €19,90.",04-07-2023
"Ontvangen van het Voedingscentrum het boek ‘Schijf van vijf kookboek’, ter waarde van €19,95.",14-06-2023
"Ontvangen het boek ‘Verstikkende bureaucratie met wortel en tak uitroeien’ van Guus Berkhout ter waarde van €12,95.",09-06-2023
"Ontvangen het boek ‘Gelijk goed beginnen’ van Tessa Roseboom ter waarde van €31,50.",01-06-2023
"Ontvangen het boek ‘De eerste 1000 dagen’ van Tessa Roseboom ter waarde van €29,95.",01-06-2023
"Ontvangen van SaBais B.V. het boek ‘Worst bank scenario’ ter waarde van €25,-.",15-03-2023
"Ontvangen van de Haagse Hogeschool een VVV-bon ter waarde van €50,-.",23-02-2023
"Ontvangen van Rozemarijn van ’t Einde het boek ‘Rebelleren voor het leven’ van Rozemarijn van ’t Einde ter waarde van €20,99.",20-02-2023
"Ontvangen van Martijn Aslander het boek 'Ons werk is stuk' ter waarde van € 24,95.",30-01-2023
"Ontvangen van de RAI Vereniging een fietspomp ter waarde van € 17,95.",26-01-2023
"Ontvangen van De Correspondent Uitgevers het boek ‘Sander en de brug, vijf voorstellen voor een eerlijker Nederland’ ter waarde van € 15,-.",23-01-2023
"Ontvangen via de post het boek: ‘Naar een nieuw tijdperk met een zakenkabinet’ ter waarde van €16,95.",16-01-2023
"Ontvangen van Karin Blankenstein het boek: ‘Ze lullen maar een die eind weg’ van John Blankenstein ter waarde van €12,89.",02-01-2023
"Ontvangen van ProDemos een chocoladereep van Tony Chocolonely ter waarde van €3,29.",22-12-2022
"Ontvangen van Elsevier het boek: 'Handboek Minister: De Lang geheimgehouden instructies aan bewindslieden' ook wel het ‘blauwe boek’ genoemd’ van Joppe Gloerich ter waarde van €14,95.",19-12-2022
"Ontvangen van een burger een horloge van het merk Seiko ter waarde van €280,-. Bedrag gedoneerd aan een goed doel.",16-12-2022
Geschenk,Datum
"Ontvangen van een burger een doos Italiaanse koekjes ter waarde van €11,85.",16-12-2022
"Ontvangen van Paul Hassels Mönning het boek ‘Palmen op de Noodpool, het grote verhaal van klimaatverandering’ ter waarde €25,-.",17-11-2022
"Ontvangen van een scholier: een geschenkdoos Ferrero Collection chocolade ter waarde van €7,50.",14-11-2022
"Ontvangen van het bestuur van de NPO het boek 'Het verhaal van Nederland, onze geschiedenis van de prehistorie tot nu' ter waarde van €15,-.",04-11-2022
"Ontvangen van IMPAKT het kaartspel 'Turning Tables- fair tech card game' ter waarde van €12,50",28-10-2022
"Ontvangen van het Mendelcollege het boek ‘De zeven vinkjes’ van Joris Luyendijk ter waarde van €21,99.",03-10-2022
"Ontvangen het boek ‘Kafka in de Rechtsstaat De gevolgen van een leesfout: de toeslagenaffaire ontleed’ van Ellen Pasman ter waarde van €20,-.",31-08-2022
"Ontvangen vanwege het behalen van de 8e plaats in de Nationale Politieke Index een exemplaar van HP de Tijd, uitgave september 2022, ter waarde van €8,95.",30-08-2022
"Ontvangen van uitgeverij Atlas Contact het boek ‘Achtervolgd door de staatsmaffia’ van Bill Browder ter waarde van €24,95.",07-07-2022
"Ontvangen van de Raad voor het Openbaar Bestuur het boek ‘Wetenschap en overheidsbeleid, een spanningsvolle relatie’ ter waarde van €24,90.",07-07-2022
"Ontvangen van de Bestuurskundige Interfacultaire Vereniging Leiden een waardebon van €30,- en een bos bloemen. De waarde is onbekend",19-04-2022
"Ontvangen het boek ‘Ze moeten altijd mij hebben’ van Anja Diender ter waarde van €21,80",04-04-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",31-03-2022
Ontvangen een autoritje. De waarde is onbekend.,11-03-2022
"Ontvangen couscous ter waarde van €14,75.",11-03-2022
"Ontvangen een visschotel ter waarde van €24,95.",11-03-2022
"Ontvangen van een Haagse ondernemer 2 kilo kersen ter waarde van €16,-.",11-03-2022
"Ontvangen van Nizaar Makdoembaks het boek ‘Racisme in de Bijlmer’ ter waarde van €55,-.",10-12-2021
"Ontvangen van Google drie Titan Security Keys ter waarde van €35,- per stuk (€105,- in totaal).",10-12-2021
Ontvangen van Groene Metropoolregio Nijmegen Arnhem een vogelhuisje. De waarde is onbekend.,14-04-2021
Ontvangen van een burger op straat tijdens campagne een bos bloemen. De waarde is onbekend.,14-04-2021
Ontvangen een draadloze telefoonlader. De waarde is onbekend.,14-04-2021
"Ontvangen het boek ""Zo hadden we het niet bedoeld- De tragedie achter de toeslagenaffaire"" van Jesse Frederik meet een geschatte waarde van €22,50.",14-04-2021
Ontvangen een doos chocolade. De waarde is onbekend.,14-04-2021
Ontvangen van een burger (ondernemer) op straat tijdens campagne in Bergen op Zoom een fleecedeken. De waarde is onbekend.,17-03-2021
ontvangen van Aya Laghzaoui een doos bonbons. De waarde is onbekend.,17-03-2021
Ontvangen van een burger op straat tijdens campagne een bos bloemen. De waarde is onbekend.,17-03-2021
Ontvangen van een burger op straat tijdens campagne een doos dadels. De waarde is onbekend.,17-03-2021
Ontvangen van een burger op straat tijdens campagne een bos bloemen. De waarde is onbekend.,16-03-2021
"Ontvangen van Ruud de Wild i.v.m. het programma ""ingelijst"" een schilderij ter waarde van €1500,-.",25-02-2021
Ontvangen van Ronald van Klaveren een patatje. De waarde is onbekend.,04-01-2021
"Baarle, S.R.T. (Stephan) van - DENK",
Geschenken,
Geschenk,Datum
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",31-03-2022
"Baudet, T.H.P. (Thierry) - FVD",
Geschenken,
Geschenk,Datum
Geen,
"Becker, B. (Bente) - VVD",
Geschenken,
Geschenk,Datum
Deelgenomen aan een buffet aangeboden door de Stichting Ondersteuning VVD (SOV). De waarde is onbekend.,28-08-2023
