Date,Headline,Tekst
2024-02-06,"Voor NSC is deze formatieronde ten einde, houdt mogelijkheden open",NSC vindt dat deze ronde van formatiegesprekken klaar is. De partij houdt de mogelijkheid open voor steun aan een minderheidskabinet of een ander soort kabinet met brede steun in de Tweede Kamer. Gesprekken over een 'gewoon' meerderheidskabinet lijkt de partij vooralsnog uit te sluiten.
2024-02-02,"Kabinetsformatie onder hoogspanning, grote twijfels bij NSC","Naar buiten toe zijn de berichten over het verloop van de kabinetsformatie ""hoopvol"" en ""constructief"". Door de afgesproken radiostilte kunnen de betrokken fractievoorzitters niets zeggen. Maar achter de schermen heerst bij Nieuw Sociaal Contract (NSC), de politieke partij van Pieter Omtzigt, grote twijfel over het verloop van de formatiegesprekken met PVV, VVD en BBB."
2024-01-30,Van 'goede sfeer' naar 'harde onderhandelingen'; zo staat de formatie ervoor,"Het is de zevende week van de formatie en de gesprekken tussen de vier partijen moeten binnen afzienbare tijd een verslag van de informateur opleveren. Maar hoe het er op dit moment voorstaat, is onduidelijk."
2024-01-17,"Wilders noemt spreidingswet 'probleem', gevolgen formatiegesprekken nog onduidelijk","""We hebben een probleem, daar gaan we nu over praten."" Met die woorden zette PVV-leider Wilders vanochtend de toon voor aanvang van de formatiegesprekken. Dat probleem is de spreidingswet die er toch komt. Gisteravond bleek dat er voldoende steun is voor die wet in de Eerste Kamer, omdat de VVD-fractie tegen de verwachting in voor stemt."
2023-12-11,"Verkenner Plasterk: 'stabiel kabinet' met PVV, VVD, NSC en BBB onderzoeken","Verkenner Ronald Plasterk adviseert de Tweede Kamer dat PVV, VVD, NSC en BBB een kabinet proberen te vormen. Dat is de uitkomst van de voorkeur die de meeste partijen hebben uitgesproken. Een logische andere optie is er volgens Plasterk niet."
2023-12-01,Verkenner Plasterk heeft meer tijd nodig voor advies over kabinetsformatie,"Verkenner Ronald Plasterk heeft meer tijd nodig om advies te kunnen uitbrengen aan de Tweede Kamer over de kabinetsformatie. Hij hoopte dat komende dinsdag (5 december) te kunnen doen, nu wordt dat de week van 11 december."
2023-11-29,"Verdeeldheid in VVD over kabinetsdeelname blijft, ook na ledenbijeenkomst","Dilan Yesilgöz is de leider van een partij die sterk verdeeld is over deelname aan een nieuw kabinet. Op een VVD-ledenbijeenkomst in Utrecht was er enige steun voor haar standpunt om niet in een nieuw kabinet te gaan, maar er waren ook veel vragen over die keuze en behoorlijk wat aanwezigen vonden het ronduit onbegrijpelijk."
2023-11-29,Omtzigt: nog niet onderhandelen over meerderheids- of minderheidskabinet,"NSC-leider Omtzigt wil dat een informateur ""langs de lijnen van de inhoud"" gaat verkennen hoe de problemen in het land kunnen worden opgelost. NSC is niet klaar om te gaan onderhandelen over een meerderheid- of minderheidskabinet, zei hij na zijn gesprek met verkenner Plasterk."
2023-11-27,Wilders wil Ronald Plasterk voordragen als nieuwe verkenner,PVV-leider Wilders wil Ronald Plasterk voordragen als de nieuwe verkenner die de eerste fase van de kabinetsformatie begeleidt. Haagse bronnen melden dat dat morgen gaat gebeuren.
2023-11-24,PVV-senator Gom van Strien aangesteld als verkenner voor de kabinetsformatie,Gom van Strien wordt de verkenner in de eerste fase van de kabinetsformatie. Hij is al ruim 12 jaar Eerste Kamerlid van de PVV.
2023-11-27,"Van Strien (PVV) stopt, Wilders heeft nieuwe verkenner op oog",Verkenner Gom van Strien legt zijn taken neer. Dat laat hij weten in een korte verklaring. Aanleiding is een artikel van NRC van dit weekend waarin Van Strien in verband werd gebracht met fraude bij zijn voormalig werkgever.
2023-11-24,Yesilgöz wil met VVD niet in kabinet: 'Zullen centrumrechts kabinet wel steunen',"Dilan Yesilgöz (VVD) zegt dat haar partij niet in een kabinet zal stappen in verband met het zetelverlies. Wel zal de partij een centrumrechts kabinet steunen als een soort gedoogpartner. ""Ons past na dertien jaar een andere rol."""
2024-03-01,Honderd dagen na de verkiezingen nog geen zicht op nieuw kabinet,"De formatie is vandaag precies honderd dagen bezig, maar het is nog altijd onduidelijk wat voor kabinet er komt. Een meerderheidskabinet van PVV, VVD, NSC en BBB zit er niet meer in. Maar wat dan wel? De vier partijen lijken in elk geval tot elkaar veroordeeld te zijn."
2024-02-27,Informateur Putters: 'Gesprekken waren constructief en complex',"Informateur Putters praat de komende dagen verder met een aantal partijleiders, maar hij wil nog niet zeggen wie er wordt uitgenodigd. Hij wil vanavond eerst de zaken op een rijtje zetten, zo meldt Putters."
2024-02-14,Tweede Kamer akkoord met Kim Putters als nieuwe informateur,De Tweede Kamer is akkoord met het voorstel van PVV-leider Geert Wilders om SER-voorzitter Kim Putters tot nieuwe informateur te benoemen. Dat is de uitkomst van het debat over het eindrapport van voormalig informateur Plasterk. Putters heeft zijn opdracht vanavond in de Tweede Kamer meteen aanvaard.
2024-02-13,"Onderzoek: kiezer teleurgesteld in formatie, NSC dreigt prijs te betalen","Ruim de helft (53 procent) van de kiezers oordeelt negatief over het stuklopen van de formatieonderhandelingen van PVV, VVD, NSC en BBB. De onvrede is het grootst bij de stemmers op de vier betrokken partijen, blijkt uit kiezersonderzoek van I&O Research. Niet alleen is driekwart van de PVV-achterban teleurgesteld; dat geldt ook voor bijna zes op de tien NSC-kiezers (58 procent)."
2024-02-12,"Advies Plasterk aan PVV, VVD, NSC en BBB: praat verder over vormen van kabinet","Er zijn tussen PVV, VVD, NSC en BBB voldoende overeenkomsten waardoor het mogelijk zou moeten zijn om een nieuw kabinet te vormen. Welke vorm zo'n kabinet moet krijgen, een meerderheids- of minderheidskabinet, moet later bepaald worden. Dat staat in het eindverslag dat informateur Plasterk vanmiddag heeft aangeboden aan Kamervoorzitter Bosma."
