"FIRST_GENRE","TOTAL_MOVIES","BECHDEL_CATEGORY","BECHDEL_PASS"
"Family","1","This movie has at least two women in it.","0"
"Family","1","This movie does not have two (named) female characters.","0"
"Family","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"Family","1","This movie has at least two women in it and they talk to each other.","1"
"Romance","1","This movie does not have two (named) female characters.","1"
"Romance","1","This movie has at least two women in it.","0"
"Romance","1","This movie has at least two women in it and they talk to each other.","0"
"Romance","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"Sci-Fi","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"Sci-Fi","1","This movie has at least two women in it and they talk to each other.","0"
"Sci-Fi","1","This movie has at least two women in it.","1"
"Sci-Fi","1","This movie does not have two (named) female characters.","0"
"Thriller","1","This movie does not have two (named) female characters.","0"
"Thriller","1","This movie has at least two women in it.","0"
"Thriller","1","This movie has at least two women in it and they talk to each other.","0"
"Thriller","1","This movie has at least two women in it and they talk to each other about something besides a man.","1"
"Western","1","This movie does not have two (named) female characters.","0"
"Western","1","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"Western","1","This movie has at least two women in it and they talk to each other.","1"
"Western","1","This movie has at least two women in it.","0"
"Mystery","8","This movie does not have two (named) female characters.","0"
"Mystery","8","This movie has at least two women in it.","7"
"Mystery","8","This movie has at least two women in it and they talk to each other.","1"
"Mystery","8","This movie has at least two women in it and they talk to each other about something besides a man.","0"
"Fantasy","15","This movie does not have two (named) female characters.","1"
"Fantasy","15","This movie has at least two women in it.","3"
"Fantasy","15","This movie has at least two women in it and they talk to each other.","1"
"Fantasy","15","This movie has at least two women in it and they talk to each other about something besides a man.","10"
"Animation","21","This movie has at least two women in it and they talk to each other about something besides a man.","12"
"Animation","21","This movie has at least two women in it and they talk to each other.","1"
"Animation","21","This movie does not have two (named) female characters.","3"
"Animation","21","This movie has at least two women in it.","5"
"Horror","153","This movie does not have two (named) female characters.","6"
"Horror","153","This movie has at least two women in it.","14"
"Horror","153","This movie has at least two women in it and they talk to each other.","13"
"Horror","153","This movie has at least two women in it and they talk to each other about something besides a man.","120"
"Biography","164","This movie does not have two (named) female characters.","7"
"Biography","164","This movie has at least two women in it.","45"
"Biography","164","This movie has at least two women in it and they talk to each other.","25"
"Biography","164","This movie has at least two women in it and they talk to each other about something besides a man.","87"
"Crime","175","This movie does not have two (named) female characters.","13"
"Crime","175","This movie has at least two women in it.","59"
"Crime","175","This movie has at least two women in it and they talk to each other.","31"
"Crime","175","This movie has at least two women in it and they talk to each other about something besides a man.","72"
"Adventure","316","This movie has at least two women in it.","100"
"Adventure","316","This movie has at least two women in it and they talk to each other about something besides a man.","168"
"Adventure","316","This movie has at least two women in it and they talk to each other.","30"
"Adventure","316","This movie does not have two (named) female characters.","18"
"Drama","415","This movie does not have two (named) female characters.","33"
"Drama","415","This movie has at least two women in it.","99"
"Drama","415","This movie has at least two women in it and they talk to each other.","45"
"Drama","415","This movie has at least two women in it and they talk to each other about something besides a man.","238"
"Comedy","594","This movie does not have two (named) female characters.","18"
"Comedy","594","This movie has at least two women in it.","136"
"Comedy","594","This movie has at least two women in it and they talk to each other.","82"
"Comedy","594","This movie has at least two women in it and they talk to each other about something besides a man.","358"
"Action","992","This movie does not have two (named) female characters.","123"
"Action","992","This movie has at least two women in it.","347"
"Action","992","This movie has at least two women in it and they talk to each other.","115"
"Action","992","This movie has at least two women in it and they talk to each other about something besides a man.","407"
