"FIRST_GENRE","year","TOTAL_MOVIES","BECHDEL_PASS_PERC"
"Action","1971","3","0"
"Action","1972","1","0"
"Action","1973","3","0"
"Action","1974","1","0"
"Action","1976","2","0.5"
"Action","1977","2","0"
"Action","1978","1","0"
"Action","1979","4","0.25"
"Action","1980","4","0.5"
"Action","1981","3","0.666667"
"Action","1982","6","0.166667"
"Action","1983","4","0.25"
"Action","1984","9","0.555556"
"Action","1985","5","0"
"Action","1986","7","0.571429"
"Action","1987","6","0.333333"
"Action","1988","8","0.25"
"Action","1989","9","0.111111"
"Action","1990","9","0.222222"
"Action","1991","11","0.454545"
"Action","1992","7","0"
"Action","1993","11","0.272727"
"Action","1994","12","0.5"
"Action","1995","16","0.375"
"Action","1996","16","0.3125"
"Action","1997","22","0.545455"
"Action","1998","18","0.222222"
"Action","1999","14","0.214286"
"Action","2000","19","0.473684"
"Action","2001","27","0.259259"
"Action","2002","27","0.222222"
"Action","2003","31","0.451613"
"Action","2004","27","0.407407"
"Action","2005","27","0.444444"
"Action","2006","24","0.25"
"Action","2007","23","0.478261"
"Action","2008","42","0.309524"
"Action","2009","34","0.323529"
"Action","2010","41","0.414634"
"Action","2011","46","0.282609"
"Action","2012","38","0.394737"
"Action","2013","50","0.48"
"Action","2014","55","0.381818"
"Action","2015","41","0.365854"
"Action","2016","53","0.490566"
"Action","2017","37","0.540541"
"Action","2018","37","0.675676"
"Action","2019","35","0.6"
"Action","2020","18","0.777778"
"Action","2021","22","0.590909"
"Action","2022","15","0.6"
"Action","2023","9","0.666667"
"Adventure","1970","1","1"
"Adventure","1972","1","0"
"Adventure","1973","1","1"
"Adventure","1975","2","0.5"
"Adventure","1977","1","1"
"Adventure","1978","1","0"
"Adventure","1979","1","0"
"Adventure","1980","2","0"
"Adventure","1981","3","0"
"Adventure","1982","2","0.5"
"Adventure","1984","3","0.333333"
"Adventure","1985","5","0.4"
"Adventure","1986","6","0.5"
"Adventure","1987","2","0.5"
"Adventure","1988","4","0.25"
"Adventure","1989","5","0.8"
"Adventure","1990","2","0"
"Adventure","1991","3","0.333333"
"Adventure","1992","3","0.666667"
"Adventure","1993","4","0.5"
"Adventure","1994","1","0"
"Adventure","1995","8","0.625"
"Adventure","1996","5","0.4"
"Adventure","1997","4","0.5"
"Adventure","1998","5","0.8"
"Adventure","1999","5","0.2"
"Adventure","2000","9","0.444444"
"Adventure","2001","5","0.4"
"Adventure","2002","6","0.666667"
"Adventure","2003","11","0.363636"
"Adventure","2004","12","0.666667"
"Adventure","2005","11","0.363636"
"Adventure","2006","13","0.384615"
"Adventure","2007","14","0.428571"
"Adventure","2008","12","0.583333"
"Adventure","2009","13","0.230769"
"Adventure","2010","12","0.75"
"Adventure","2011","12","0.5"
"Adventure","2012","15","0.533333"
"Adventure","2013","11","0.818182"
"Adventure","2014","13","0.538462"
"Adventure","2015","14","0.642857"
"Adventure","2016","16","0.6875"
"Adventure","2017","9","0.666667"
"Adventure","2018","5","0.6"
"Adventure","2019","9","0.666667"
"Adventure","2020","2","1"
"Adventure","2021","5","1"
"Adventure","2022","4","0.5"
"Adventure","2023","3","0.666667"
"Animation","1988","2","0.5"
"Animation","1991","1","1"
"Animation","1993","1","0"
"Animation","1996","1","0"
"Animation","1999","1","1"
"Animation","2005","1","1"
"Animation","2006","2","0.5"
"Animation","2007","2","0.5"
"Animation","2008","1","0"
"Animation","2009","1","1"
"Animation","2012","1","0"
"Animation","2013","1","1"
"Animation","2015","1","0"
"Animation","2016","1","1"
"Animation","2018","1","1"
"Animation","2019","1","1"
"Animation","2021","1","1"
"Animation","2022","1","0"
"Biography","1970","1","0"
"Biography","1973","2","0"
"Biography","1975","1","1"
"Biography","1978","1","0"
"Biography","1980","1","0"
"Biography","1981","1","0"
"Biography","1982","1","0"
"Biography","1984","1","1"
"Biography","1985","1","1"
"Biography","1987","1","0"
"Biography","1989","2","0.5"
"Biography","1990","1","1"
"Biography","1992","2","0.5"
"Biography","1993","3","0.666667"
"Biography","1994","3","0.666667"
"Biography","1995","3","0.333333"
"Biography","1997","2","0"
"Biography","1998","2","1"
"Biography","1999","6","0.333333"
"Biography","2000","3","0.666667"
"Biography","2001","2","0"
"Biography","2002","4","0"
"Biography","2003","2","1"
"Biography","2004","6","0.5"
"Biography","2005","8","0.5"
"Biography","2006","3","0.333333"
"Biography","2007","8","0.625"
"Biography","2008","4","0.5"
"Biography","2009","7","0.285714"
"Biography","2010","6","0.833333"
"Biography","2011","4","0.5"
"Biography","2012","4","0.5"
"Biography","2013","10","0.9"
"Biography","2014","5","0.6"
"Biography","2015","13","0.538462"
"Biography","2016","11","0.545455"
"Biography","2017","8","0.75"
"Biography","2018","9","0.555556"
"Biography","2019","8","0.5"
"Biography","2021","3","0.666667"
"Biography","2022","1","0"
"Comedy","1971","1","1"
"Comedy","1973","3","0.333333"
"Comedy","1974","2","0"
"Comedy","1975","1","1"
"Comedy","1977","1","1"
"Comedy","1978","2","0.5"
"Comedy","1979","2","0.5"
"Comedy","1980","2","0.5"
"Comedy","1981","3","0"
"Comedy","1982","3","0"
"Comedy","1983","6","0.333333"
"Comedy","1984","7","0.285714"
"Comedy","1985","8","0.5"
"Comedy","1986","8","0.5"
"Comedy","1987","8","0.625"
"Comedy","1988","11","0.727273"
"Comedy","1989","12","0.583333"
"Comedy","1990","5","0.8"
"Comedy","1991","8","0.625"
"Comedy","1992","11","0.545455"
"Comedy","1993","11","0.636364"
"Comedy","1994","10","0.3"
"Comedy","1995","11","0.545455"
"Comedy","1996","13","0.461538"
"Comedy","1997","8","0.375"
"Comedy","1998","19","0.526316"
"Comedy","1999","15","0.666667"
"Comedy","2000","16","0.5625"
"Comedy","2001","22","0.818182"
"Comedy","2002","14","0.714286"
"Comedy","2003","20","0.65"
"Comedy","2004","24","0.708333"
"Comedy","2005","20","0.6"
"Comedy","2006","23","0.652174"
"Comedy","2007","19","0.736842"
"Comedy","2008","22","0.545455"
"Comedy","2009","24","0.416667"
"Comedy","2010","24","0.666667"
"Comedy","2011","33","0.636364"
"Comedy","2012","18","0.555556"
"Comedy","2013","25","0.56"
"Comedy","2014","20","0.65"
"Comedy","2015","19","0.631579"
"Comedy","2016","17","0.529412"
"Comedy","2017","11","0.818182"
"Comedy","2018","13","0.615385"
"Comedy","2019","12","0.916667"
"Comedy","2020","3","1"
"Comedy","2021","2","1"
"Comedy","2022","2","0.5"
"Crime","1971","2","0"
"Crime","1972","1","0"
"Crime","1973","2","0"
"Crime","1974","1","0"
"Crime","1975","1","0"
"Crime","1976","2","0"
"Crime","1981","1","1"
"Crime","1983","2","0"
"Crime","1984","2","0"
"Crime","1986","2","0"
"Crime","1987","1","0"
"Crime","1990","3","0.333333"
"Crime","1991","3","0.666667"
"Crime","1992","2","0"
"Crime","1993","4","0.25"
"Crime","1994","2","1"
"Crime","1995","6","0.333333"
"Crime","1996","6","0.166667"
"Crime","1997","4","0.25"
"Crime","1998","6","0.333333"
"Crime","1999","5","0.4"
"Crime","2000","5","0.6"
"Crime","2001","4","0.25"
"Crime","2002","6","0.333333"
"Crime","2003","7","0.857143"
"Crime","2004","5","0.2"
"Crime","2005","5","0.4"
"Crime","2006","7","0.571429"
"Crime","2007","13","0.461538"
"Crime","2008","6","0.833333"
"Crime","2009","6","0.666667"
"Crime","2010","4","0.25"
"Crime","2011","3","0.333333"
"Crime","2012","5","0.2"
"Crime","2013","8","0.5"
"Crime","2014","7","0.285714"
"Crime","2015","4","0.5"
"Crime","2016","3","0.666667"
"Crime","2017","5","0.6"
"Crime","2018","5","0.4"
"Crime","2019","3","0.666667"
"Crime","2021","4","0.5"
"Crime","2022","1","1"
"Crime","2023","1","0"
"Drama","1971","2","0"
"Drama","1972","2","1"
"Drama","1973","2","0.5"
"Drama","1974","2","0"
"Drama","1975","1","0"
"Drama","1976","3","0.333333"
"Drama","1977","3","0"
"Drama","1978","2","0.5"
"Drama","1979","3","0"
"Drama","1980","2","0"
"Drama","1982","4","0.75"
"Drama","1983","2","0.5"
"Drama","1984","1","0"
"Drama","1985","5","0.6"
"Drama","1986","2","0"
"Drama","1987","4","0.5"
"Drama","1988","5","0.2"
"Drama","1989","2","0"
"Drama","1990","6","0.5"
"Drama","1991","3","0.666667"
"Drama","1992","7","0.428571"
"Drama","1993","7","0.571429"
"Drama","1994","6","0.333333"
"Drama","1995","7","0.714286"
"Drama","1996","4","1"
"Drama","1997","9","0.666667"
"Drama","1998","10","0.4"
"Drama","1999","10","0.8"
"Drama","2000","11","0.636364"
"Drama","2001","16","0.5"
"Drama","2002","14","0.357143"
"Drama","2003","5","0.6"
"Drama","2004","16","0.5"
"Drama","2005","14","0.714286"
"Drama","2006","17","0.529412"
"Drama","2007","10","0.6"
"Drama","2008","16","0.5625"
"Drama","2009","18","0.611111"
"Drama","2010","20","0.6"
"Drama","2011","19","0.631579"
"Drama","2012","17","0.588235"
"Drama","2013","18","0.722222"
"Drama","2014","13","0.769231"
"Drama","2015","14","0.571429"
"Drama","2016","15","0.6"
"Drama","2017","17","0.764706"
"Drama","2018","9","0.666667"
"Drama","2019","13","0.615385"
"Drama","2020","3","0.666667"
"Drama","2021","2","1"
"Drama","2022","2","0.5"
"Family","1971","1","0"
"Fantasy","1977","1","0"
"Fantasy","1987","1","1"
"Fantasy","1991","1","0"
"Fantasy","1994","1","1"
"Fantasy","1998","1","0"
"Fantasy","1999","2","1"
"Fantasy","2001","2","0"
"Fantasy","2007","1","1"
"Fantasy","2009","1","1"
"Fantasy","2010","1","1"
"Fantasy","2011","1","1"
"Fantasy","2013","1","1"
"Fantasy","2020","1","1"
"Horror","1973","2","1"
"Horror","1974","1","0"
"Horror","1976","2","1"
"Horror","1978","2","0.5"
"Horror","1979","1","1"
"Horror","1980","2","1"
"Horror","1981","3","0.333333"
"Horror","1982","3","0.666667"
"Horror","1983","2","0"
"Horror","1984","3","1"
"Horror","1985","3","0.333333"
"Horror","1986","1","1"
"Horror","1987","1","0"
"Horror","1988","2","1"
"Horror","1990","1","1"
"Horror","1992","1","1"
"Horror","1996","1","1"
"Horror","1997","3","1"
"Horror","1998","5","1"
"Horror","1999","3","0.666667"
"Horror","2000","2","0.5"
"Horror","2001","3","1"
"Horror","2002","3","1"
"Horror","2003","5","1"
"Horror","2004","2","0.5"
"Horror","2005","7","0.714286"
"Horror","2006","6","0.833333"
"Horror","2007","9","0.666667"
"Horror","2008","5","0.8"
"Horror","2009","13","0.769231"
"Horror","2010","5","1"
"Horror","2011","5","0.6"
"Horror","2012","6","0.5"
"Horror","2013","6","0.666667"
"Horror","2014","7","1"
"Horror","2015","2","1"
"Horror","2016","7","1"
"Horror","2017","7","1"
"Horror","2018","1","1"
"Horror","2019","7","0.857143"
"Horror","2021","1","0"
"Horror","2022","1","1"
"Horror","2023","1","0"
"Mystery","1995","1","0"
"Mystery","1997","1","0"
"Mystery","1999","1","0"
"Mystery","2000","1","0"
"Mystery","2003","1","0"
"Mystery","2006","1","0"
"Mystery","2010","1","0"
"Mystery","2021","1","0"
"Romance","1984","1","0"
"Sci-Fi","2011","1","0"
"Thriller","2005","1","1"
"Western","1976","1","0"
