"IMDB_ID","ORIGINAL_TITLE","FIRST_GENRE","RELEASE_YEAR","IMDB_AVG_RATING"
"tt0070909","Westworld","Action","1973","6.9"
"tt0076729","Smokey and the Bandit","Action","1977","7"
"tt0082694","Mad Max 2","Action","1981","7.6"
"tt0086006","Never Say Never Again","Action","1983","6.1"
"tt0087985","Red Dawn","Action","1984","6.3"
"tt0089530","Mad Max Beyond Thunderdome","Action","1985","6.2"
"tt0091209","The Hitcher","Action","1986","7.2"
"tt0093260","Innerspace","Action","1987","6.8"
"tt0095963","Red Heat","Action","1988","6.1"
"tt0096933","Black Rain","Action","1989","6.6"
"tt0105112","Patriot Games","Action","1992","6.8"
"tt0108333","The Three Musketeers","Action","1993","6.4"
"tt0110478","Maverick","Action","1994","7"
"tt0113481","Johnny Mnemonic","Action","1995","5.6"
"tt0117438","Ransom","Action","1996","6.7"
"tt0119051","The Edge","Action","1997","6.9"
"tt0120873","U.S. Marshals","Action","1998","6.5"
"tt0137363","Arlington Road","Action","1999","7.2"
"tt0141926","U-571","Action","2000","6.6"
"tt0272020","The Last Castle","Action","2001","6.9"
"tt0245844","The Count of Monte Cristo","Action","2002","7.7"
"tt0316356","Open Range","Action","2003","7.4"
"tt0328107","Man on Fire","Action","2004","7.7"
"tt0433387","Harsh Times","Action","2005","6.8"
"tt0475276","United 93","Action","2006","7.6"
"tt0462322","Grindhouse","Action","2007","7.5"
"tt0988047","Traitor","Action","2008","6.9"
"tt0963178","The International","Action","2009","6.5"
"tt1116184","Jackass 3D","Action","2010","7"
"tt1285241","Don 2","Action","2011","7.1"
"tt1567609","Get the Gringo","Action","2012","6.9"
"tt0882977","Snitch","Action","2013","6.4"
"tt2265171","Serbuan maut 2: Berandal","Action","2014","7.9"
"tt1781922","No Escape","Action","2015","6.7"
"tt4387040","Airlift","Action","2016","7.9"
"tt0493405","CHIPS","Action","2017","6"
"tt5052474","Sicario: Day of the Soldado","Action","2018","7.1"
"tt8688634","21 Bridges","Action","2019","6.6"
"tt11655202","Retfærdighedens ryttere","Action","2020","7.5"
"tt10872600","Spider-Man: No Way Home","Action","2021","8.2"
"tt15327088","Kantara","Action","2022","8.2"
"tt10366206","John Wick: Chapter 4","Action","2023","7.7"
"tt0065938","Kelly's Heroes","Adventure","1970","7.6"
"tt0073341","The Man Who Would Be King","Adventure","1975","7.8"
"tt0080801","The Gods Must Be Crazy","Adventure","1980","7.3"
"tt0086197","The Right Stuff","Adventure","1983","7.8"
"tt0089670","National Lampoon's European Vacation","Adventure","1985","6.2"
"tt0106246","Alive","Adventure","1993","7.1"
